venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Busch Stadium,St. Louis Cardinals,Sweeper,ST,8,lower middle inside the strike zone,R,106,66,4,36,8,3,0,3,1,0,19,2,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,3,upper right inside the strike zone,R,105,65,9,31,3,2,1,1,1,0,22,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,7,lower left inside the strike zone,R,104,60,4,40,8,2,0,2,0,0,25,0,0,0,2,0,1
Busch Stadium,St. Louis Cardinals,Sweeper,ST,6,middle right inside the strike zone,R,103,57,1,45,10,2,0,2,2,0,23,3,0,1,1,0,1
Busch Stadium,St. Louis Cardinals,Sinker,SI,6,middle right inside the strike zone,L,102,55,2,45,9,3,1,3,0,0,26,1,0,0,2,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,3,upper right inside the strike zone,R,102,69,19,14,3,1,0,1,0,0,9,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,4,middle left inside the strike zone,R,102,50,2,50,12,3,0,0,2,0,27,3,0,0,3,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,12,up and right outside the strike zone,L,102,16,73,13,4,0,0,0,1,0,8,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,13,low and left outside the strike zone,L,100,26,68,6,1,0,0,0,0,0,4,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,2,upper middle inside the strike zone,L,100,67,4,29,8,4,1,0,0,1,14,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,9,lower right inside the strike zone,R,97,63,5,29,6,2,0,0,0,0,21,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,13,low and left outside the strike zone,R,94,37,41,9,1,0,0,0,0,0,8,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,4,middle left inside the strike zone,L,94,63,8,23,6,1,0,0,0,0,13,0,0,0,2,0,1
Busch Stadium,St. Louis Cardinals,Sinker,SI,8,lower middle inside the strike zone,L,93,64,3,26,2,1,0,0,0,0,20,2,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,9,lower right inside the strike zone,R,92,71,4,17,1,1,0,0,0,0,13,2,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,4,middle left inside the strike zone,R,92,66,1,25,3,2,0,0,0,0,16,1,0,1,1,1,0
Busch Stadium,St. Louis Cardinals,Slider,SL,2,upper middle inside the strike zone,R,91,73,3,15,2,2,0,1,0,0,9,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,14,low and right outside the strike zone,R,90,13,73,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,2,upper middle inside the strike zone,R,89,70,5,14,0,1,0,0,0,0,13,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,3,upper right inside the strike zone,L,88,67,8,13,1,0,0,0,0,1,11,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,14,low and right outside the strike zone,L,88,28,48,12,2,0,0,1,1,1,6,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,7,lower left inside the strike zone,L,88,61,1,26,8,0,0,0,0,1,13,2,0,0,1,1,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,1,upper left inside the strike zone,L,86,52,9,25,3,5,0,1,0,0,15,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,7,lower left inside the strike zone,R,86,66,4,16,1,0,0,0,0,0,14,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,9,lower right inside the strike zone,L,86,58,7,21,5,1,0,1,0,0,11,1,0,0,2,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,6,middle right inside the strike zone,L,85,64,0,21,9,2,1,1,0,1,6,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,7,lower left inside the strike zone,R,83,56,2,25,5,2,0,0,1,0,14,3,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,7,lower left inside the strike zone,L,82,64,10,8,2,1,0,0,0,0,3,1,1,0,0,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,13,low and left outside the strike zone,R,81,17,51,6,0,1,0,0,0,0,4,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,5,middle middle inside the strike zone,R,81,54,0,27,4,4,0,0,1,1,17,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,13,low and left outside the strike zone,L,79,29,42,6,2,0,0,0,0,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,12,up and right outside the strike zone,R,78,21,45,12,1,1,0,0,0,2,8,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,13,low and left outside the strike zone,R,78,8,65,5,0,1,0,0,0,0,2,2,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,5,middle middle inside the strike zone,L,78,51,0,27,4,2,0,2,0,1,16,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,6,middle right inside the strike zone,L,78,45,1,32,8,3,0,0,1,0,19,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,1,upper left inside the strike zone,R,74,42,14,18,1,3,0,2,1,0,11,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,8,lower middle inside the strike zone,L,73,41,1,31,6,5,0,0,1,1,17,0,0,0,0,0,1
Busch Stadium,St. Louis Cardinals,Sinker,SI,11,up and left outside the strike zone,L,73,12,57,4,1,0,0,0,0,1,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,4,middle left inside the strike zone,L,72,43,2,27,3,1,0,1,1,1,20,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,8,lower middle inside the strike zone,L,72,40,2,30,9,0,0,1,0,0,17,1,0,0,2,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,9,lower right inside the strike zone,L,71,47,4,20,7,0,0,0,0,0,11,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,3,upper right inside the strike zone,L,71,45,4,22,5,2,0,0,0,1,11,1,0,0,2,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,1,upper left inside the strike zone,R,67,50,4,13,2,0,0,0,1,0,9,0,0,1,0,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,7,lower left inside the strike zone,L,66,48,3,15,3,1,0,0,0,0,10,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,4,middle left inside the strike zone,R,66,45,4,17,6,2,0,2,0,0,7,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,11,up and left outside the strike zone,R,66,9,55,2,0,1,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,8,lower middle inside the strike zone,L,65,47,1,17,7,0,0,1,0,0,9,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,5,middle middle inside the strike zone,R,63,34,0,29,8,2,1,1,0,0,17,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,14,low and right outside the strike zone,L,61,16,39,6,2,0,0,0,0,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,12,up and right outside the strike zone,L,59,14,41,4,1,0,0,0,0,0,1,0,0,0,1,0,1
Busch Stadium,St. Louis Cardinals,Cutter,FC,8,lower middle inside the strike zone,R,58,36,1,21,4,0,0,3,1,0,11,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,12,up and right outside the strike zone,L,57,2,54,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,14,low and right outside the strike zone,L,56,12,38,4,1,1,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,14,low and right outside the strike zone,R,55,16,32,5,0,0,0,0,0,0,3,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,6,middle right inside the strike zone,R,54,36,1,17,5,1,0,0,0,0,10,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,9,lower right inside the strike zone,R,51,36,6,9,1,1,0,1,0,0,6,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sinker,SI,1,upper left inside the strike zone,L,51,39,6,6,4,1,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,3,upper right inside the strike zone,R,49,30,7,12,0,1,0,1,0,0,10,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,7,lower left inside the strike zone,R,47,33,2,12,4,1,0,1,0,0,5,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,14,low and right outside the strike zone,L,46,18,18,10,0,0,0,1,0,0,7,0,0,0,2,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,1,upper left inside the strike zone,R,46,33,8,5,1,0,0,2,0,0,1,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,2,upper middle inside the strike zone,R,45,34,1,10,3,0,0,1,0,0,6,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,6,middle right inside the strike zone,L,43,31,1,11,0,0,0,0,0,1,10,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,4,middle left inside the strike zone,R,43,31,4,8,0,0,0,0,0,0,5,1,0,0,2,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,7,lower left inside the strike zone,L,42,32,0,10,0,0,0,0,0,0,9,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,2,upper middle inside the strike zone,R,41,31,3,7,0,0,0,0,0,0,6,0,0,0,0,1,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,5,middle middle inside the strike zone,L,40,29,0,11,3,1,0,1,0,0,5,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,11,up and left outside the strike zone,L,40,12,23,5,0,1,0,0,0,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,4,middle left inside the strike zone,L,38,20,0,18,1,4,0,3,0,0,7,0,0,0,2,1,0
Busch Stadium,St. Louis Cardinals,Four-seam fastball,FF,9,lower right inside the strike zone,L,37,27,2,8,1,0,0,0,1,0,5,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,1,upper left inside the strike zone,R,37,24,3,10,6,0,0,1,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,5,middle middle inside the strike zone,L,37,25,0,12,6,1,0,1,0,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,1,upper left inside the strike zone,R,37,29,2,6,0,0,0,0,0,0,6,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,3,upper right inside the strike zone,R,36,24,3,9,1,0,0,1,0,0,7,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slurve,SV,14,low and right outside the strike zone,R,36,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,6,middle right inside the strike zone,L,35,25,1,9,2,2,0,0,1,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,8,lower middle inside the strike zone,L,34,21,0,13,3,1,0,0,0,0,8,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,11,up and left outside the strike zone,L,34,8,23,3,1,0,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,2,upper middle inside the strike zone,L,33,27,0,6,1,0,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,1,upper left inside the strike zone,L,31,17,4,10,2,0,0,0,0,0,8,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,9,lower right inside the strike zone,L,31,22,0,9,2,0,0,1,0,0,6,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,7,lower left inside the strike zone,L,30,18,2,10,5,1,0,0,0,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,12,up and right outside the strike zone,L,30,3,25,2,0,1,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,7,lower left inside the strike zone,R,29,20,2,7,1,1,0,1,0,0,4,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,11,up and left outside the strike zone,R,29,3,23,3,0,0,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,12,up and right outside the strike zone,R,28,4,21,3,1,0,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,2,upper middle inside the strike zone,L,27,17,3,7,3,0,0,0,0,0,2,1,0,0,0,1,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,6,middle right inside the strike zone,R,26,21,0,5,1,1,0,1,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,9,lower right inside the strike zone,L,25,19,1,5,0,0,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,4,middle left inside the strike zone,L,25,17,1,7,2,0,0,2,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,3,upper right inside the strike zone,L,24,19,1,4,2,0,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,8,lower middle inside the strike zone,R,24,18,0,6,2,0,0,0,0,0,2,1,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,13,low and left outside the strike zone,L,24,4,15,2,0,1,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,11,up and left outside the strike zone,R,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,5,middle middle inside the strike zone,L,23,12,0,11,5,1,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,7,lower left inside the strike zone,L,22,19,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0
