venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Truist Park,Atlanta Braves,Changeup,CH,9,lower right inside the strike zone,L,104,70,3,30,2,2,0,0,0,0,22,2,0,0,1,0,1
Truist Park,Atlanta Braves,Splitter,FS,14,low and right outside the strike zone,R,101,26,69,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,7,lower left inside the strike zone,L,101,78,0,23,7,3,0,0,0,0,9,1,0,0,1,0,2
Truist Park,Atlanta Braves,Changeup,CH,13,low and left outside the strike zone,L,96,24,65,7,1,3,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,14,low and right outside the strike zone,L,93,23,60,10,2,1,0,0,0,0,7,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,1,upper left inside the strike zone,R,92,61,9,22,2,0,1,2,0,0,16,1,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,9,lower right inside the strike zone,L,90,62,3,25,6,4,0,0,0,0,14,1,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,6,middle right inside the strike zone,L,90,53,0,37,11,1,0,1,0,0,23,1,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,11,up and left outside the strike zone,R,89,16,67,6,2,0,0,0,0,0,3,0,1,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,12,up and right outside the strike zone,R,87,20,64,3,1,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,5,middle middle inside the strike zone,L,86,52,0,34,7,4,0,0,0,0,19,0,0,0,3,0,1
Truist Park,Atlanta Braves,Curveball,CU,14,low and right outside the strike zone,L,84,20,49,11,6,0,0,0,0,0,5,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,4,middle left inside the strike zone,R,84,63,0,21,3,0,0,2,0,0,14,0,0,0,1,0,1
Truist Park,Atlanta Braves,Knuckle curve,KC,14,low and right outside the strike zone,R,83,34,40,6,2,0,0,0,0,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,4,middle left inside the strike zone,L,83,56,1,26,4,1,0,1,0,0,19,1,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,2,upper middle inside the strike zone,R,80,64,4,12,5,1,0,0,0,0,6,0,0,0,0,0,0
